State,LGA,Ward,PU-Code,PU-Name,Latitude,Longitude,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Outlier Score
ANAMBRA,ANAOCHA,ADAZI NNUKWU  II,04-05-06-006,"PRACTISING SCHOOL, ADAZI NNUKWU II",6.101763,7.0122134,172,456,True,-1,False,False,False,False,UNKNOWN,1,163,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/06/pu/006/006-1677364090.pdf,72.76612903225808
ANAMBRA,ANAMBRA WEST,EZI-ANAM,04-04-01-002,UMUNTA SQUARE,6.4901675,6.7922355,157,540,True,-1,False,False,False,False,UNKNOWN,0,4,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3175/ward/18311/pu/8944/8944-1677500587.pdf,72.71538461538462
ANAMBRA,NJIKOKA,ENUGWU-AGIDI  I,04-13-07-013,EBE OFU IRUOKPALAEYIM I,6.178444,6.9880335,188,727,True,-1,False,False,False,False,UNKNOWN,2,185,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/07/pu/013/013-1677409514.pdf,72.65034965034964
ANAMBRA,ANAMBRA WEST,IFITE-ANAM,04-04-02-011,UMUAWA,6.4901675,6.7922355,147,606,True,-1,False,True,False,False,UNKNOWN,1,142,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3175/ward/18312/pu/8973/8973-1677606920.pdf,72.63846153846154
ANAMBRA,ANAMBRA EAST,AGULERI  II,04-03-02-009,ERULU VILLAGE HALL,6.3092973,6.8672668,122,191,True,-1,False,False,False,False,UNKNOWN,4,20,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622475/result_165295_1677595263_thumb.jpg,72.6062176165803
ANAMBRA,ANAOCHA,ADAZI NNUKWU  I,04-05-05-004,TOWN HALL II,6.0819615,7.0042858,195,565,True,-1,False,False,False,False,UNKNOWN,1,178,6,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/05/pu/004/004-1677365128.pdf,72.59375
ANAMBRA,ONITSHA-NORTH,INLAND TOWN II,04-17-04-001,OGBEABO SQUARE I,6.1623902,6.8029489,227,889,True,-1,False,False,False,False,UNKNOWN,0,205,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/001/001-1677398791.pdf,72.46999999999998
ANAMBRA,NNEWI NORTH,OTOLO  I,04-14-03-003,COOPERATIVE CENTRE III,6.0136533,6.9101806,187,700,True,-1,False,True,False,False,UNKNOWN,1,156,18,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3185/ward/18464/pu/11141/11141-1677673676.pdf,72.45
ANAMBRA,AWKA SOUTH,AMAWBIA  I,04-07-02-003,EZIEGEGE SQUARE I,6.2116033,7.0713572,202,931,True,-1,False,False,False,False,UNKNOWN,2,188,7,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/02/pu/003/003-1677409985.pdf,72.43859649122807
ANAMBRA,IDEMILI NORTH,OBOSI,04-10-07-055,ST. MARY NURSERY/PRY. SCHOOL I,6.1236562,6.9477532,185,990,True,-1,True,False,False,False,UNKNOWN,3,170,2,0,https://docs.inecelectionresults.net/elections_prod/1292/10293-1677875341.pdf,72.3877551020408
ANAMBRA,ONITSHA-NORTH,INLAND TOWN III,04-17-05-010,UPPER IWEKA/OPP. EMERAH,6.1406638,6.7843922,59,494,True,-1,False,False,False,False,UNKNOWN,0,56,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/05/pu/010/010-1677359584.pdf,72.26363636363635
ANAMBRA,AWKA SOUTH,MBA-UKWU,04-07-13-002,NKWO MARKET SQUARE II,6.1413224,7.0728009,78,278,True,-1,False,False,False,False,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/002/002-1677414229.pdf,72.2
ANAMBRA,AWKA SOUTH,MBA-UKWU,04-07-13-001,NKWO MARKET SQUARE I,6.1413224,7.0728009,136,369,True,-1,False,False,False,False,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/001/001-1677409744.pdf,72.2
ANAMBRA,ONITSHA-NORTH,INLAND TOWN I,04-17-03-010,OBI CHIMEZIE SQUARE,6.1575304,6.7782493,194,720,True,-1,False,False,False,False,UNKNOWN,1,187,4,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/03/pu/010/010-1677358611.pdf,72.16216216216215
ANAMBRA,AWKA SOUTH,AWKA  II,04-07-06-014,IGWEBUEZE PRI. SCH. III,6.2408924,7.0879251,162,260,True,-1,False,False,False,False,UNKNOWN,0,151,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18359/pu/121528/121528-1677536867.pdf,72.0
ANAMBRA,AGUATA,EKWULOBIA  I,04-01-06-019,UMUCHIANA VILLAGE HALL,6.0270569,7.0891358,103,197,True,-1,False,False,False,False,UNKNOWN,0,102,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/019/019-1677361961.pdf,72.0
ANAMBRA,AWKA SOUTH,OKPUNO,04-07-19-020,COMMUNITY PRIMARY SCHOOL EZINIFITE OKPUNO,5.9068657,6.9715827,65,106,True,-1,False,False,False,False,UNKNOWN,1,63,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121612/121612-1677660855.pdf,72.0
ANAMBRA,ANAMBRA WEST,NZAM,04-04-03-007,ETAKOLO,6.4901675,6.7922355,149,834,True,-1,False,False,False,False,UNKNOWN,4,141,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3175/ward/18313/pu/8989/8989-1677545377.pdf,71.92307692307693
ANAMBRA,AWKA NORTH,MGBAKWU  I (ANEZIKE),04-06-11-021,EZIOGWE VILLAGE SQUARE,6.2636193,7.1251699,46,65,True,-1,False,False,False,False,UNKNOWN,1,40,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/021/021-1677405165.pdf,71.79710144927537
